Fecha inicio,Fecha término,Fondo inicio,Sugerencia FyF
27-07-2011,02-11-2020,TOTAL,111 MESES
26-10-2020,02-11-2020,20% A / 80% E,10% A / 90% E
15-10-2020,26-10-2020,60% A / 40% E,20% A / 80% E
29-09-2020,15-10-2020,30% A / 70% E,60% A / 40% E
23-09-2020,29-09-2020,100% E,30% A / 70% E
08-09-2020,23-09-2020,25% A / 75% E,100% E
18-08-2020,08-09-2020,50% A / 50% E,25% A / 75% E
06-08-2020,18-08-2020,25% A / 75% E,50% A / 50% E
28-07-2020,06-08-2020,50% A / 50% E,25% A / 75% E
16-06-2020,28-07-2020,100% E,50% A / 50% E
27-05-2020,16-06-2020,50% C / 50% E,100% E
07-05-2020,27-05-2020,80% A / 20% C,50% C / 50% E
01-04-2020,07-05-2020,40% A / 60% E,80% A / 20% C
24-03-2020,01-04-2020,100% E,40% A / 60% E
12-03-2020,24-03-2020,50% C / 50% E,100% E
03-03-2020,12-03-2020,100% E,50% C / 50% E
16-01-2020,03-03-2020,50% A / 50% E,100% E
09-01-2020,16-01-2020,100% E,50% A / 50% E
16-12-2019,09-01-2020,50% A / 50% E,100% E
22-11-2019,16-12-2019,100% A,50% A / 50% E
11-11-2019,22-11-2019,50% A / 50% E,100% A
16-10-2019,11-11-2019,100% E,50% A / 50% E
26-06-2019,16-10-2019,50% A / 50% E,100% E
04-06-2019,26-06-2019,100% E,50% A / 50% E
02-05-2019,04-06-2019,50% A / 50% E,100% E
23-04-2019,02-05-2019,100% E,50% A / 50% E
16-04-2019,23-04-2019,50% A / 50% E,100% E
24-01-2019,16-04-2019,100% E,50% A / 50% E
18-01-2019,24-01-2019,40% C / 60% E,100% E
26-12-2018,18-01-2019,50% A / 50% E,40% C / 60% E
12-12-2018,26-12-2018,100% E,50% A / 50% E
09-11-2018,12-12-2018,50% A / 50% E,100% E
05-11-2018,09-11-2018,100% E,50% A / 50% E
11-10-2018,05-11-2018,50% A / 50% E,100% E
05-10-2018,11-10-2018,100% E,50% A / 50% E
24-09-2018,05-10-2018,50% A / 50% E,100% E
05-09-2018,24-09-2018,100% A,50% A / 50% E
29-08-2018,05-09-2018,50% A / 50% E,100% A
20-08-2018,29-08-2018,100% E,50% A / 50% E
27-07-2018,20-08-2018,50% A / 50% E,100% E
09-07-2018,27-07-2018,100% E,50% A / 50% E
25-06-2018,09-07-2018,20% A / 80% E,100% E
19-06-2018,25-06-2018,60% A / 40% E,20% A / 80% E
06-06-2018,19-06-2018,50% C / 50% E,60% A / 40% E
24-05-2018,06-06-2018,100% A,50% C / 50% E
04-05-2018,24-05-2018,50% A / 50% E,100% A
19-04-2018,04-05-2018,15% D / 85% E,50% A / 50% E
23-03-2018,19-04-2018,50% C / 50% E,15% D / 85% E
14-03-2018,23-03-2018,100% A,50% C / 50% E
07-03-2018,14-03-2018,50% A / 50% E,100% A
26-02-2018,07-03-2018,100% E,50% A / 50% E
05-02-2018,26-02-2018,50% A / 50% E,100% E
22-01-2018,05-02-2018,100% A,50% A / 50% E
09-01-2018,22-01-2018,50% A / 50% E,100% A
19-12-2017,09-01-2018,100% A,50% A / 50% E
28-11-2017,19-12-2017,50% A / 50% E,100% A
12-10-2017,28-11-2017,100% A,50% A / 50% E
28-09-2017,12-10-2017,50% A / 50% E,100% A
12-09-2017,28-09-2017,100% E,50% A / 50% E
10-08-2017,12-09-2017,50% C / 50% E,100% E
13-07-2017,10-08-2017,100% E,50% C / 50% E
22-12-2016,13-07-2017,50% A / 50% E,100% E
09-11-2016,22-12-2016,100% E,50% A / 50% E
13-09-2016,09-11-2016,50% C / 50% E,100% E
06-09-2016,13-09-2016,100% E,50% C / 50% E
29-04-2016,06-09-2016,50% C / 50% E,100% E
22-02-2016,29-04-2016,100% E,50% C / 50% E
15-01-2016,22-02-2016,50% A / 50% E,100% E
06-01-2016,15-01-2016,100% A,50% A / 50% E
22-12-2015,06-01-2016,50% A / 50% E,100% A
16-12-2015,22-12-2015,100% E,50% A / 50% E
26-10-2015,16-12-2015,50% C / 50% E,100% E
13-10-2015,26-10-2015,100% E,50% C / 50% E
24-08-2015,13-10-2015,40% C / 60% E,100% E
08-07-2015,24-08-2015,50% A / 50% E,40% C / 60% E
13-05-2015,08-07-2015,100% A,50% A / 50% E
18-03-2015,13-05-2015,50% A / 50% E,100% A
12-02-2015,18-03-2015,100% E,50% A / 50% E
15-12-2014,12-02-2015,100% A,100% E
30-10-2014,15-12-2014,50% A / 50% E,100% A
19-08-2014,30-10-2014,100% E,50% A / 50% E
01-08-2014,19-08-2014,50% C / 50% E,100% E
06-03-2014,01-08-2014,100% E,50% C / 50% E
24-01-2014,06-03-2014,100% A,100% E
06-09-2013,24-01-2014,100% E,100% A
16-08-2013,06-09-2013,100% A,100% E
17-07-2013,16-08-2013,100% E,100% A
03-04-2013,17-07-2013,100% A,100% E
02-01-2013,03-04-2013,100% E,100% A
29-08-2012,02-01-2013,100% A,100% E
19-07-2012,29-08-2012,100% E,100% A
28-06-2012,19-07-2012,100% A,100% E
19-06-2012,28-06-2012,100% E,100% A
29-03-2012,19-06-2012,100% A,100% E
11-01-2012,29-03-2012,100% E,100% A
22-11-2011,11-01-2012,100% A,100% E
12-10-2011,22-11-2011,100% E,100% A
27-07-2011,12-10-2011,100% A,100% E
