Dia;A;B;C;D;E
31-12-2016;37233,49;32528,78;37945,38;30136,73;38956,37
30-12-2016;37233,49;32528,78;37945,38;30136,73;38956,37
29-12-2016;37329,20;32568,00;37944,70;30123,86;38907,00
28-12-2016;37312,89;32537,05;37895,76;30090,03;38862,54
27-12-2016;37218,25;32461,08;37820,83;30035,47;38808,29
26-12-2016;37267,16;32484,44;37822,11;30010,76;38763,23
25-12-2016;37404,11;32596,86;37913,36;30038,96;38776,50
24-12-2016;37404,11;32596,86;37913,36;30038,96;38776,50
23-12-2016;37404,11;32596,86;37913,36;30038,96;38776,50
22-12-2016;37417,43;32595,38;37876,63;29994,15;38735,16
21-12-2016;37629,36;32735,01;37981,84;30034,05;38735,88
20-12-2016;37689,94;32767,95;38003,47;30022,77;38706,76
19-12-2016;37431,07;32587,11;37831,85;29927,43;38658,56
18-12-2016;37170,34;32411,69;37664,29;29835,50;38589,33
17-12-2016;37170,34;32411,69;37664,29;29835,50;38589,33
16-12-2016;37170,34;32411,69;37664,29;29835,50;38589,33
15-12-2016;37011,62;32307,80;37606,09;29812,59;38589,13
14-12-2016;36974,23;32248,66;37493,57;29713,23;38467,06
13-12-2016;36804,04;32125,90;37377,82;29645,32;38409,61
12-12-2016;37066,80;32313,36;37529,01;29710,06;38447,50
11-12-2016;37106,32;32326,33;37561,22;29720,37;38444,38
10-12-2016;37106,32;32326,33;37561,22;29720,37;38444,38
09-12-2016;37106,32;32326,33;37561,22;29720,37;38444,38
08-12-2016;36931,92;32201,21;37453,13;29652,28;38393,30
07-12-2016;36931,92;32201,21;37453,13;29652,28;38393,30
06-12-2016;37084,19;32303,35;37541,46;29688,66;38394,89
05-12-2016;37088,55;32294,43;37525,52;29659,25;38349,36
04-12-2016;37263,25;32403,39;37578,23;29655,18;38295,65
03-12-2016;37263,25;32403,39;37578,23;29655,18;38295,65
02-12-2016;37263,25;32403,39;37578,23;29655,18;38295,65
01-12-2016;37301,23;32433,23;37604,98;29673,10;38300,09
30-11-2016;37320,31;32439,81;37617,69;29675,89;38289,05
29-11-2016;37341,46;32441,08;37582,58;29621,60;38214,66
28-11-2016;37431,37;32497,08;37614,65;29635,23;38218,61
27-11-2016;37332,14;32440,82;37582,30;29630,80;38223,13
26-11-2016;37332,14;32440,82;37582,30;29630,80;38223,13
25-11-2016;37332,14;32440,82;37582,30;29630,80;38223,13
24-11-2016;37438,56;32523,73;37666,97;29667,16;38239,91
23-11-2016;37313,44;32443,65;37612,28;29664,29;38254,93
22-11-2016;37255,33;32397,00;37574,54;29637,38;38240,94
21-11-2016;37253,21;32403,29;37598,46;29661,28;38265,15
20-11-2016;37172,93;32355,52;37570,11;29657,57;38266,73
19-11-2016;37172,93;32355,52;37570,11;29657,57;38266,73
18-11-2016;37172,93;32355,52;37570,11;29657,57;38266,73
17-11-2016;37168,64;32328,43;37533,18;29623,58;38227,80
16-11-2016;36845,60;32097,28;37321,69;29517,83;38170,65
15-11-2016;36759,38;32003,83;37196,13;29394,51;38034,08
14-11-2016;36796,37;32140,81;37451,45;29618,75;38285,36
13-11-2016;36925,29;32293,22;37612,82;29716,20;38388,92
12-11-2016;36925,29;32293,22;37612,82;29716,20;38388,92
11-11-2016;36925,29;32293,22;37612,82;29716,20;38388,92
10-11-2016;36725,02;32229,48;37657,60;29822,25;38554,96
09-11-2016;36867,40;32324,03;37772,65;29894,08;38596,97
08-11-2016;36869,55;32318,72;37786,70;29906,08;38604,29
07-11-2016;36494,66;32076,35;37623,76;29825,48;38552,69
06-11-2016;36480,74;32072,50;37606,23;29795,24;38514,66
05-11-2016;36480,74;32072,50;37606,23;29795,24;38514,66
04-11-2016;36480,74;32072,50;37606,23;29795,24;38514,66
03-11-2016;36734,51;32240,85;37719,70;29831,49;38495,28
02-11-2016;36847,46;32327,71;37788,13;29887,07;38565,36
01-11-2016;37033,42;32463,66;37900,12;29955,41;38615,58
31-10-2016;37033,42;32463,66;37900,12;29955,41;38615,58
30-10-2016;37033,42;32463,66;37900,12;29955,41;38615,58
29-10-2016;37033,42;32463,66;37900,12;29955,41;38615,58
28-10-2016;37033,42;32463,66;37900,12;29955,41;38615,58
27-10-2016;37229,61;32601,41;38030,20;30028,78;38667,79
26-10-2016;37358,77;32688,69;38097,21;30052,88;38678,82
25-10-2016;37616,09;32847,54;38234,84;30118,23;38705,20
24-10-2016;37717,75;32912,36;38323,50;30168,79;38740,40
23-10-2016;37741,09;32929,82;38343,90;30176,04;38745,75
22-10-2016;37741,09;32929,82;38343,90;30176,04;38745,75
21-10-2016;37741,09;32929,82;38343,90;30176,04;38745,75
20-10-2016;37753,34;32934,54;38351,72;30178,34;38757,43
19-10-2016;37624,11;32830,40;38254,37;30140,40;38749,77
18-10-2016;37475,03;32736,89;38202,72;30127,52;38742,48
17-10-2016;37494,10;32751,61;38210,34;30131,04;38753,83
16-10-2016;37402,00;32690,47;38181,67;30130,81;38767,88
15-10-2016;37402,00;32690,47;38181,67;30130,81;38767,88
14-10-2016;37402,00;32690,47;38181,67;30130,81;38767,88
13-10-2016;37376,97;32665,52;38139,79;30100,20;38751,49
12-10-2016;37429,44;32692,16;38172,61;30123,29;38747,21
11-10-2016;37656,31;32808,59;38242,58;30130,20;38739,30
10-10-2016;37595,10;32774,24;38223,34;30117,03;38733,37
09-10-2016;37595,10;32774,24;38223,34;30117,03;38733,37
08-10-2016;37595,10;32774,24;38223,34;30117,03;38733,37
07-10-2016;37595,10;32774,24;38223,34;30117,03;38733,37
06-10-2016;37514,54;32721,70;38180,42;30094,83;38718,50
05-10-2016;37311,54;32591,02;38080,63;30061,03;38703,47
04-10-2016;37089,94;32435,86;37950,51;30011,98;38693,87
03-10-2016;37003,54;32377,89;37901,98;29994,13;38684,53
02-10-2016;37083,68;32452,13;37978,58;30020,27;38687,52
01-10-2016;37083,68;32452,13;37978,58;30020,27;38687,52
30-09-2016;37083,68;32452,13;37978,58;30020,27;38687,52
29-09-2016;37377,97;32612,74;38091,54;30048,47;38684,46
28-09-2016;37236,19;32525,86;38026,84;30007,46;38654,39
27-09-2016;37208,93;32517,58;38022,34;29989,78;38619,33
26-09-2016;37342,83;32591,33;38053,19;29984,77;38597,46
25-09-2016;37323,86;32559,04;37998,01;29954,87;38578,65
24-09-2016;37323,86;32559,04;37998,01;29954,87;38578,65
23-09-2016;37323,86;32559,04;37998,01;29954,87;38578,65
22-09-2016;37455,50;32616,83;38034,64;29960,50;38558,21
21-09-2016;37358,80;32568,48;38007,20;29952,42;38563,71
20-09-2016;37395,28;32587,10;38013,38;29948,53;38569,67
19-09-2016;37263,72;32501,51;37940,02;29912,72;38540,22
18-09-2016;37263,72;32501,51;37940,02;29912,72;38540,22
17-09-2016;37263,72;32501,51;37940,02;29912,72;38540,22
16-09-2016;37263,72;32501,51;37940,02;29912,72;38540,22
15-09-2016;37248,10;32496,62;37945,93;29915,71;38526,22
14-09-2016;37168,74;32449,44;37925,02;29915,25;38536,22
13-09-2016;37491,06;32630,48;38040,67;29955,31;38538,54
12-09-2016;37441,06;32631,32;38063,25;29968,73;38534,72
11-09-2016;37570,26;32690,75;38064,20;29960,70;38534,89
10-09-2016;37570,26;32690,75;38064,20;29960,70;38534,89
09-09-2016;37570,26;32690,75;38064,20;29960,70;38534,89
08-09-2016;37542,79;32663,29;38032,88;29941,21;38512,52
07-09-2016;37848,88;32849,91;38165,83;29977,72;38507,82
06-09-2016;37818,89;32832,37;38146,34;29960,46;38495,85
05-09-2016;37822,51;32825,87;38140,22;29948,91;38479,52
04-09-2016;37862,93;32848,01;38156,24;29953,79;38468,48
03-09-2016;37862,93;32848,01;38156,24;29953,79;38468,48
02-09-2016;37862,93;32848,01;38156,24;29953,79;38468,48
01-09-2016;37799,11;32806,91;38124,71;29943,59;38461,63
31-08-2016;37613,21;32677,75;37998,75;29871,28;38415,51
30-08-2016;37521,30;32621,01;37958,22;29851,24;38402,73
29-08-2016;37097,29;32353,40;37740,13;29759,26;38365,46
28-08-2016;37301,54;32479,97;37832,45;29787,61;38354,57
27-08-2016;37301,54;32479,97;37832,45;29787,61;38354,57
26-08-2016;37301,54;32479,97;37832,45;29787,61;38354,57
25-08-2016;37573,57;32643,73;37962,43;29842,24;38359,25
24-08-2016;37523,35;32602,45;37926,16;29817,65;38339,45
23-08-2016;37328,91;32461,05;37807,79;29762,33;38313,44
22-08-2016;37119,19;32319,67;37675,23;29698,24;38279,45
21-08-2016;36979,19;32226,34;37591,92;29663,10;38263,46
20-08-2016;36979,19;32226,34;37591,92;29663,10;38263,46
19-08-2016;36979,19;32226,34;37591,92;29663,10;38263,46
18-08-2016;36942,31;32205,68;37580,56;29666,35;38268,56
17-08-2016;36758,98;32094,02;37497,20;29625,98;38244,43
16-08-2016;36783,66;32084,39;37461,64;29592,25;38214,32
15-08-2016;36531,93;31890,47;37269,34;29467,65;38100,01
14-08-2016;36531,93;31890,47;37269,34;29467,65;38100,01
13-08-2016;36531,93;31890,47;37269,34;29467,65;38100,01
12-08-2016;36531,93;31890,47;37269,34;29467,65;38100,01
11-08-2016;36599,11;31931,52;37302,06;29464,97;38064,06
